标题,发布时间,品种,内容
四川省达州市宣汉县柴葛根行情持续低迷,2026-03-09 15:44,葛根,"【天地网讯】

四川省达州市宣汉县柴葛根砍片年后行情没有大的起色，走货缓慢，价格低迷，砍片在4.8元左右。（本信息由四川省达州市宣汉县商家 张先生 13518250041提供）"
湖北省宜昌市宜都市陈皮价格保持稳定,2026-03-09 15:43,陈皮,"【天地网讯】

湖北省宜昌市宜都市陈皮产新基本结束，最近正常走动，价格保持稳定，现在全红晒货选个5.6元/公斤，手剥皮丝7.2元/公斤。（本信息由宜都市瑞丰生态农业专业合作社 陈正国 15997606036 提供）"
黑龙江省大庆市大同区板蓝根走动不快,2026-03-09 15:25,板蓝根,"【天地网讯】

黑龙江省大庆市大同区板蓝根走动不快，行情稳定，产地货源充足，现东北统货板蓝根上车价格在9元。（本信息由黑龙江省大庆市大同区张德学15776557788提供）"
广东省德庆县巴戟天行情相比年前稍有上涨,2026-03-09 15:20,巴戟天,"【天地网讯】

广东省德庆县巴戟天春节后因产地加工人手不足，货源走动较好，供应呈现偏紧的状态，行情稍有上涨，现小肉价格在50-52元之间，中肉58-60元，假标104元，标头120元。（信息由广东省德庆县商家邓先生13556538819提供）"
广东省德庆县肉桂行情继续在偏低位运行,2026-03-09 15:19,肉桂,"【天地网讯】

广东省德庆县的肉桂自春节过后产地几乎没有什么货源走动，行情继续在偏低位运行，现统货价格在6元左右，产地库存充足，接下来又快产新，后市压力较大。（信息由广东省德庆县商家邓先生13556538819提供）"
四川省眉山市彭山区谢家镇泽泻产新接近尾声,2026-03-09 15:18,泽泻,"【天地网讯】

四川省眉山市彭山区谢家镇泽泻采挖已经结束，炕货加工结束，晒货也接近尾声，今年产量和去年相差不大，商家正常采购为主，行情稳定运行，现晒货在13.8-14元之间，炕货13.2-13.3元，不带票价格会稍低。（信息由四川省眉山市彭山区谢家镇商家盛先生13404063918提供）"
四川省眉山市彭山区谢家镇川芎货源走动持续畅快,2026-03-09 15:17,川芎,"【天地网讯】

四川省眉山市彭山区谢家镇川芎近期货源走动持续畅快，产地库存有量，行情变动不大，晒货在14.5-15元之间，炕货14..3-14.4元，目前产区植株长势良好。（信息由四川省眉山市彭山区谢家镇商家盛先生13404063918提供）"
云南省文山市三七行情稳定运行,2026-03-09 15:17,三七,"【天地网讯】

云南省文山市三七近日由于降雨上货量不大，近段时间商家正常补货为主，行情稳定运行，现剪口老货价格在180元左右，120头的112元上下，60头的119-120元，产地货源充足。（信息由云南省文山市商家夏先生提供）"
湖南省邵阳市隆回县山银花节后货源走动良好,2026-03-09 15:13,山银花,"【天地网讯】

湖南省邵阳市隆回县山银花春节过后货源走动良好，产地库存量大，行情没有变化，现茶花质量不等价格在33-38元之间，五彩花手选杂质的价格在26元左右，机选杂质的17元，农户自晒货21元，目前产地长势良好，但由于价低，包地种植户管理积极性下降，农户自种尚正常管理，预计今年产量会有一定的影响。（信息由湖南省邵阳市隆回县山银花商家吴先生15873927544提供）"
湖南省邵阳市隆回县玉竹近期货源成交量少,2026-03-09 15:12,玉竹,"【天地网讯】

湖南省邵阳市隆回县玉竹货源量足，近期产地购货的商家不多，货源成交量少，行情疲软，现差一点的统片价格在40元左右，正常的42-43元，较好的46-47元，近年价高，产区种植量较大。（信息由湖南省邵阳市隆回县山银花商家吴先生15873927544提供）"
