标题,发布时间,品种,内容
湖北省宜昌市当阳市 急性子产量还是优于往年,2025-12-27 09:03,急性子,"【天地网讯】

今日行情，湖北省宜昌市当阳市，急性子（统货）价格为32元/公斤，走势畅快，货源不丰。 因今年上半年风调雨顺，各产区透骨草急性子生长良好，至阳历7月收获季节，天气持续晴朗干旱方便割晒，湖北、湖南、河南、江西等主产区普遍优质丰收，至急性子第一季货源强于往年。 但第二季，从8月中旬持续下雨至10月中旬，该几个主产区急性子收获甚少。今年总体来说，急性子产量还是优于往年。"
广东省云浮市郁南县巴戟天走势稳定,2025-12-27 08:29,巴戟天,"【天地网讯】

今日行情，广东省云浮市郁南县，巴戟天（巴戟圆肉:手选特大直经1.2左右的110元每公斤。大肉1.0直径的80元每公。大肉直径08-1.0的78元每公。中大肉直径06-08的66元每公斤！小肉直径1-06的56元。每公斤），走势稳定，货源充足。"
广东省云浮市郁南县 走势稳定,2025-12-27 08:26,桂枝,"【天地网讯】

今日行情，广东省云浮市郁南县，桂枝（充桂枝（桂枝1/4规格9.5元每公斤4—6规格6.5元每公，6—8规格6.5元每公斤，8—10规格3.2元每公，10—12规格2.1元每公斤），走势稳定，货源充足），走势稳定，货源充足。"
河北省保定市安国市半夏走缓,2025-12-26 23:32,半夏,"【天地网讯】

今日行情,河北省保定市安国市的半夏(统货)价格为38-43元公斤,(6-8)价格为33-36元公斤,(米珠)价格为24-26元公斤,走势稳定,货源充足。上市量大 多数以观望为主  走货有点疲软"
甘肃省定西市岷县党参走势稳定,2025-12-26 19:40,党参,"【天地网讯】

今日行情，甘肃省定西市岷县党参（药厂货35-38元一公斤不等），（小条39-42元一公斤不等（新货7-8成干）），（小中条43-48元一公斤不等（新货7-8）），（中条50-56元一公斤不等（新货7-8）），（大条58-68元一公斤不等（新货7-8）），（特大条76元一公斤不等（新货）），走势稳定，货源充足，今日岷县市场货源充足，外来老板较多，这两天成交率较高，价格稍有上涨，以上价格作为参考，欢迎各位老板来电咨询。由岷县老曾药材批发零售提供。电话15693299340同V"
贵州毕节市威宁县半夏行情稳定,2025-12-26 19:18,半夏,"【天地网讯】

贵州毕节市威宁县半夏目前多为家种货为主，虽然行情稳定，但前来购货商家不多，货源走动情况暂不理想，现本地半夏报价在50元左右，供应有量。（本信息由贵州毕节市威宁彝族回族苗族自治县赵才保13984729191提供）"
贵州毕节市威宁县党参目前交易以鲜货为主,2025-12-26 19:17,党参,"【天地网讯】

贵州毕节市威宁县党参产新中，但新货干品尚未应市，目前交易以鲜货为主，现本地鲜货党参报价在10-12元之间不等。（本信息由贵州毕节市威宁彝族回族苗族自治县赵才保13984729191提供）"
贵州毕节市威宁县伸筋草多已走出,2025-12-26 19:15,伸筋草,"【天地网讯】

贵州毕节市威宁县伸筋草今年新货产量减少，虽目前依然有商询价，但由于货源多已走出，所以暂无实际成交价。（本信息由贵州毕节市威宁彝族回族苗族自治县赵才保13984729191提供）"
安徽亳州魏岗集镇与集镇周边白术行情基本稳定,2025-12-26 18:57,白术,"【天地网讯】

白术处于种植期，目前行情基本稳定，现魏岗集镇与集镇周边一年生的干货白术多要价在10-12元之不等，两年的白术报价在22-25元之间不等。（本信息由安徽亳州魏岗宋老板13856805403提供）"
广西蜂蜜产地近况简讯（2025年12月26日）,2025-12-26 17:00,蜂蜜,"【天地网讯】

1⃣ 天气情况今日广西主要蜜源产区天气以晴朗及多云为主，气温区间维持在 11℃ 至 20℃ 之间。这种温和的昼夜温差对于冬季蜜源的流蜜较为有利，且避免了剧烈降温对蜂群造成的应激。目前日照充足，气象环境稳定且可预期，非常适合蜂群维持正常的户外采集活动。2⃣ 产地与蜜源情况目前的原料端采集工作呈现出明显的多区域分布特征。通过在广西境内多个地理点位的深度布局，我们有效规避了单一林区花期波动的风险。依托多点位、不集中的采集模式，目前各产区实现了良好的错峰补位。蜜源获取展现出极强的连续性，整体供应节奏保持稳定采集状态，能够支撑原料端的长效需求，不依赖于单一蜂场的产出。3⃣ 蜂群状态表述随着季节深入，蜂群已完全适应当前的冬至气候节奏。根据各驻点观察，目前蜂群整体状态正常，哺育与采集的节奏平稳。虽然气温较前期有所下降，但蜂王产卵与工蜂采集行为均表现出高度的规律性。这种稳定的生理节奏，为后续原料的品质一致性提供了坚实的基础，整体生产环境处于可控状态。4⃣ 行情与价格近期产地原料端的大宗成交处于理性波动区间，市场反馈显示，目前大宗货源的成交多集中在：15 元左右 / KG（常规百花蜜标准）特别提示：以上价格仅作为产地行情参考，实际成交价格需结合具体批次的理化指标、水分含量及合作细节沟通为准。5⃣ 结晶与技术点受近期产地环境温度持续低于 15℃ 影响，部分库容及转运过程中的百花蜜出现自然结晶，这属于葡萄糖析出的正常物理变化，不影响辅料指标。此讯息由广西蜜博士·聪本戚提供｜18174705779仅作产地信息交流，不负责收蜜，请蜂农朋友勿加。如需转载，请完整保留以上信息说明。"
